Details,price,ratings
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,4
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹899,4
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,499",4.3
OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499",4.3
Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,"₹8,499",4.5
"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge &...",₹999,4
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,4
Aroma NB140 Fabulous 24 Hours* Playtime | Deep Bass | M...,₹505,3.6
OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499",4.3
OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499",4.3
boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199",4.2
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹526,4
OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Act...,"₹2,499",4.3
OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799",4.2
realme Techlife Buds T100 with up to 28 Hours Playback ...,"₹1,399",4.2
APPLE AirPods Pro (2nd generation) with Active Noise Ca...,"₹18,999",4.6
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,3.9
DigiClues M19 Earbuds with 48 Hours Palyback and ASAP C...,₹599,3.6
"Nothing Ear (2) with Dual chamber sound, Hi-res audio, ...","₹6,999",4.3
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹899,4
"truke BTG Storm Gaming Earbuds with 40ms Low Latency, 5...",₹899,4.1
"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast C...",₹999,4.1
"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,699",4.3
OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹2,199",4.3
OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹1,799",4.3
boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,999",4.2
"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","₹1,099",4
"TimbreSonic Bounce Pro Wireless In-Ear Earphones, Hi-Fi...",₹419,3.6
boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,₹999,4.1
"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,199",4.1
"Aroma NB119 X-RAY 50 Hours Playtime, Smart Equalizer Mo...",₹474,3.8
"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...","₹1,099",4
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",₹999,3.9
OnePlus Buds Pro 2 Bluetooth Headset,"₹8,999",4.4
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹899,3.9
"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge &...",₹999,4
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹474,3.9
"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399",3.9
"boAt Immortal 131 with Beast Mode, 40 Hours Playback an...","₹1,099",4
"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge &...",₹999,4
